x	y	theta	v	delta	a	delta_dot
5.0	2.0008720684297403	1.5707963267948966	0.052324105784414536	1.0599086806933653e-15	1.5697231735324364	3.1797260420800964e-14
5.0	2.003384673003179	1.5707963267948977	0.09843216862192967	2.2293437045562556e-13	1.3832418851254544	6.656233853247967e-12
5.0	2.0073400996978603	1.570796326794907	0.1388934330589633	4.318500442003786e-13	1.2138379331110092	6.267470212342591e-12
5.0	2.0125589812405322	1.5707963267949303	0.1742394595013085	6.28081292936081e-13	1.0603807932703566	5.886937462071073e-12
5.0	2.0188790558990064	1.57079632679497	0.20496502000711228	8.072924927523883e-13	0.9217668151741139	5.376335994489219e-12
5.0	2.0261539598455225	1.5707963267950273	0.23152921678386107	9.650472630723927e-13	0.7969259033024645	4.732643109600136e-12
4.999999999999999	2.034252059722725	1.5707963267951024	0.2543567758482962	1.0999668238155488e-12	0.6848267719330586	4.047586822294712e-12
4.999999999999997	2.043055330545975	1.570796326795194	0.27383947354675303	1.210518351658523e-12	0.5844809309537116	3.3165458352892637e-12
4.999999999999994	2.052458282760175	1.570796326795301	0.29033765930521865	1.296646825004048e-12	0.49494557275397616	2.5838542003657763e-12
4.999999999999989	2.0623669411338406	1.5707963267954201	0.30418184311468965	1.3587420175934255e-12	0.41532551428413483	1.8628557776813387e-12
4.999999999999982	2.0726978771999107	1.5707963267955496	0.31567432084949204	1.3979557663144245e-12	0.3447743320440741	1.1764124616299769e-12
4.999999999999975	2.08337725880601	1.570796326795686	0.32508860954897184	1.4151835947151555e-12	0.2824286795692649	5.168349154358041e-13
4.999999999999965	2.0943400533701335	1.570796326795827	0.33267909718087085	1.4127474418352194e-12	0.22771464324068288	-7.308456025938273e-14
4.999999999999953	2.105529246935472	1.57079632679597	0.3386725532554851	1.3926745945688777e-12	0.17980369473581465	-6.02185422001264e-13
4.9999999999999405	2.116895027958628	1.5707963267961118	0.34327434805768303	1.3568320048184215e-12	0.1380538546638549	-1.0752777280074677e-12
4.999999999999925	2.1283940967301835	1.570796326796251	0.3466698214503077	1.3075218617084469e-12	0.1018642104685073	-1.4793043609823123e-12
4.999999999999908	2.1399890212261705	1.5707963267963856	0.3490256947940059	1.2472610223024169e-12	0.07067620714045184	-1.807825281361183e-12
4.99999999999989	2.151647640199201	1.5707963267965142	0.3504914435878115	1.1780974572486089e-12	0.04397246381416893	-2.0749069516142546e-12
4.999999999999869	2.1633425077389448	1.5707963267966354	0.3512006087968262	1.1014669628257137e-12	0.021274956270444075	-2.298914832686866e-12
4.999999999999848	2.1750503878718463	1.5707963267967484	0.35127219917728064	1.0195366291665596e-12	0.002147711413635879	-2.457910009774642e-12
4.999999999999826	2.1867517884903744	1.570796326796852	0.3508118379344107	9.340242636740606e-13	-0.013810837286097277	-2.5653709647749993e-12
4.999999999999804	2.1984305345262034	1.5707963267969467	0.3499129242153285	8.463939801830162e-13	-0.026967411572464448	-2.6289085047313607e-12
4.99999999999978	2.210073378676948	1.5707963267970317	0.3486577248293464	7.580264473651217e-13	-0.03765598157946265	-2.6510259845368694e-12
4.999999999999755	2.221669647370129	1.5707963267971066	0.3471183967615306	6.702793668658202e-13	-0.04617984203447573	-2.6324124149790723e-12
4.999999999999729	2.2332109196770347	1.5707963267971723	0.34535794165279127	5.838300578281617e-13	-0.05281365326218036	-2.5934792711297834e-12
4.999999999999702	2.244690736936483	1.570796326797229	0.3434310939141019	4.997708282191303e-13	-0.05780543216068175	-2.521776888270981e-12
4.999999999999674	2.256104340910675	1.5707963267972767	0.3413851445374148	4.178011588726315e-13	-0.06137848130061642	-2.4590900803950026e-12
4.999999999999647	2.2674484383691977	1.5707963267973153	0.3392607029739446	3.3895469471289944e-13	-0.06373324690410707	-2.365393924792002e-12
4.999999999999621	2.27872099008015	1.5707963267973462	0.3370923996832433	2.645265723667167e-13	-0.06504909872104117	-2.232843670385526e-12
4.999999999999594	2.289921022276937	1.5707963267973692	0.33490953212395835	1.9432709824979082e-13	-0.06548602677854841	-2.105984223507824e-12
4.9999999999995675	2.30104845876348	1.5707963267973855	0.332736657068654	1.286313006388323e-13	-0.0651862516591308	-1.970873928328809e-12
4.999999999999541	2.312103971917769	1.5707963267973954	0.3305941321887156	6.686875597198642e-14	-0.06427574639815405	-1.8528763400054355e-12
4.999999999999514	2.323088850953437	1.5707963267973994	0.3284986099513762	9.559931361496285e-15	-0.06286566712018128	-1.7192647383147232e-12
4.9999999999994875	2.334004885895619	1.570796326797398	0.3264634865795395	-4.309078851014705e-14	-0.06105370115510159	-1.5795215961493893e-12
4.999999999999461	2.3448542658232627	1.5707963267973917	0.3244993090790942	-9.108400649790175e-14	-0.058925325013359356	-1.4397965396326687e-12
4.999999999999434	2.3556394900321345	1.5707963267973806	0.32261414345319045	-1.344419879606191e-13	-0.056554968777113405	-1.3007394438815424e-12
4.999999999999408	2.366363290865797	1.5707963267973652	0.32081390656661435	-1.7352879772260586e-13	-0.054007106597282965	-1.1726042928596246e-12
4.999999999999381	2.377028567049291	1.5707963267973464	0.3191026644430432	-2.0853837000457695e-13	-0.0513372637071345	-1.0502871684591529e-12
4.999999999999354	2.387638326449499	1.5707963267973246	0.3174828995693978	-2.3966449378999197e-13	-0.04859294620936118	-9.337837135624707e-13
4.999999999999328	2.3981956372701076	1.5707963267973006	0.3159557496671911	-2.6725461966383024e-13	-0.04581449706620423	-8.277037762151797e-13
4.999999999999301	2.4087035867690596	1.5707963267972738	0.31452122026996515	-2.9147419525436837e-13	-0.043035881916780705	-7.265872677161889e-13
4.999999999999276	2.419165246662256	1.5707963267972451	0.3131783733218934	-3.123561544626167e-13	-0.04028540844215705	-6.264587762475058e-13
4.999999999999251	2.429583644449062	1.5707963267972147	0.3119254938865205	-3.3041252797934033e-13	-0.03758638306119301	-5.416912055017806e-13
4.999999999999226	2.439961739962647	1.570796326797183	0.31076023692861676	-3.452590287254546e-13	-0.034957708737117454	-4.453950223835087e-13
4.999999999999202	2.450302406511577	1.57079632679715	0.3096797560072666	-3.5757268595298636e-13	-0.03241442764051034	-3.694097168260384e-13
4.999999999999179	2.46060841603829	1.5707963267971161	0.30868081559564936	-3.6726327556176894e-13	-0.029968212348523354	-2.9071768826356523e-13
4.999999999999156	2.470882427775273	1.5707963267970815	0.3077598886234558	-3.743986995697372e-13	-0.02762780916581175	-2.1406272023912993e-13
4.999999999999135	2.4811269799310303	1.5707963267970464	0.30691324072218956	-3.7946677509853093e-13	-0.025399437037997512	-1.5204226586388498e-13
4.999999999999114	2.4913444839854333	1.570796326797011	0.3061370025422448	-3.828958036057253e-13	-0.023287145398351666	-1.0287085521589252e-13
4.999999999999092	2.5015372212178675	1.5707963267969756	0.30542723140409633	-3.848187762449795e-13	-0.021293134144467336	-5.768917917767716e-14
4.999999999999071	2.511707341132004	1.57079632679694	0.30477996344439795	-3.8496267695752336e-13	-0.019418038790964258	-4.317021376345855e-15
4.99999999999905	2.5218568614780965	1.5707963267969047	0.304191257321551	-3.837986535574533e-13	-0.01766118368541979	3.4920702002099365e-14
4.999999999999028	2.531987669607688	1.5707963267968694	0.30365723045435866	-3.812388574176138e-13	-0.01602080601578225	7.679388419520962e-14
4.999999999999007	2.542101524926618	1.5707963267968343	0.303174088681896	-3.779363888607521e-13	-0.014494253173893974	9.907405670591225e-14
4.9999999999989875	2.5522000622405163	1.5707963267968001	0.3027381501525701	-3.738842750370298e-13	-0.01307815587978928	1.2156341471175534e-13
4.999999999998968	2.5622847958126402	1.570796326796766	0.30234586417547127	-3.689164896075429e-13	-0.011768579312977335	1.4903356288472661e-13
4.999999999998948	2.5723571239771776	1.5707963267967324	0.30199382569745203	-3.629756397336837e-13	-0.010561154340592441	1.7822549621593626e-13
4.99999999999893	2.5824183341722016	1.5707963267966998	0.3016787860046986	-3.565320554705698e-13	-0.009451190782617693	1.933075278936224e-13
4.999999999998912	2.592469608275396	1.5707963267966678	0.3013976601877483	-3.4973924496406284e-13	-0.008433774508521386	2.037843151954535e-13
4.999999999998894	2.6025120281427405	1.5707963267966365	0.3011475318537473	-3.4293964655998717e-13	-0.007503850020040736	2.0398795212254964e-13
4.9999999999988765	2.612546581265604	1.5707963267966059	0.30092565551900097	-3.3580413990818667e-13	-0.006656290042401252	2.1406519955431764e-13
4.9999999999988605	2.622574166475378	1.5707963267965759	0.3007294570684003	-3.2871163095337457e-13	-0.005885953518030909	2.127752686447032e-13
4.9999999999988445	2.63259559963693	1.5707963267965466	0.3005565326257396	-3.2148055417074827e-13	-0.0051877332798308876	2.1693230347915395e-13
4.9999999999988285	2.6426116192830107	1.570796326796518	0.30040464614021745	-3.1412466792453236e-13	-0.00455659456567357	2.2067658738687108e-13
4.9999999999988125	2.6526228921513137	1.57079632679649	0.3002717259591445	-3.0669952451487844e-13	-0.003987605432197729	2.2275430229004545e-13
